InputDictionarySize,Forward,Backward
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,1,1
1000,0,1
1100,0,1
1200,1,1
1300,1,1
1400,1,1
1500,1,2
1600,1,2
1700,1,2
1800,1,2
1900,1,3
2000,2,3
2100,2,3
2200,2,3
2300,2,4
2400,2,4
2500,2,5
2600,2,5
2700,3,6
2800,3,6
2900,4,7
3000,4,7
3100,4,8
3200,4,8
3300,4,9
3400,4,10
3500,5,10
3600,6,11
3700,6,11
3800,6,11
3900,6,12
4000,7,12
4100,7,13
4200,7,14
4300,8,15
4400,7,16
4500,9,16
4600,10,18
4700,9,17
4800,10,18
4900,10,21
5000,10,20
5100,10,21
5200,11,23
5300,12,24
5400,12,25
5500,12,26
5600,12,26
5700,14,27
5800,18,31
5900,15,30
6000,15,31
6100,15,33
6200,16,35
6300,16,36
6400,18,37
6500,18,39
6600,18,40
6700,19,40
6800,19,40
6900,19,42
7000,19,43
7100,20,45
7200,20,46
7300,21,47
7400,21,49
7500,22,54
7600,22,53
7700,25,54
7800,24,56
7900,24,57
8000,25,59
8100,25,60
8200,26,62
8300,27,64
8400,28,66
8500,28,67
8600,28,69
8700,29,73
8800,30,72
8900,30,75
9000,32,76
9100,33,80
9200,33,82
9300,33,82
9400,35,84
9500,36,86
9600,36,88
9700,37,91
9800,38,95
9900,38,93
10000,40,95
10100,40,98
10200,40,101
10300,43,102
10400,43,104
10500,45,106
10600,45,109
10700,47,111
10800,46,114
10900,47,119
11000,50,118
11100,50,121
11200,51,128
11300,55,125
11400,57,127
11500,55,130
11600,56,135
11700,57,134
11800,59,136
11900,58,139
12000,60,146
12100,63,145
12200,64,147
12300,66,155
12400,66,154
12500,70,154
12600,68,161
12700,70,161
12800,71,163
12900,75,172
13000,73,167
13100,75,171
13200,77,174
13300,77,176
13400,79,178
13500,87,181
13600,82,186
13700,85,187
13800,85,190
13900,89,194
14000,88,202
14100,90,198
14200,91,203
14300,92,207
14400,97,207
14500,96,211
14600,97,214
14700,100,219
14800,101,220
14900,101,223
15000,103,228
15100,105,228
15200,107,234
15300,119,236
15400,121,239
15500,114,245
15600,114,249
15700,115,248
15800,116,255
15900,121,255
16000,123,263
16100,129,262
16200,131,269
16300,128,269
16400,128,274
16500,133,280
16600,135,280
16700,143,282
16800,147,288
16900,136,291
17000,139,293
17100,139,298
17200,143,306
17300,146,304
17400,145,311
17500,147,310
17600,152,316
17700,151,320
17800,152,322
17900,154,325
18000,156,330
18100,158,333
18200,160,338
18300,163,345
18400,164,344
18500,165,351
18600,167,356
18700,170,358
18800,172,360
18900,174,375
19000,176,373
19100,181,372
19200,181,380
19300,183,409
19400,184,386
19500,186,393
19600,188,391
19700,191,399
19800,197,401
19900,194,405
